date,year,week,rate
2010-06-05 10:00:00,2010,22,42.9666666667
2010-06-19 10:00:00,2010,24,61.9047619048
2010-07-03 10:00:00,2010,26,9.57619047619
2010-07-17 10:00:00,2010,28,38.0952380952
2010-07-31 10:00:00,2010,30,42.8571428571
2010-08-14 10:00:00,2010,32,14.2857142857
2010-08-28 10:00:00,2010,34,14.2857142857
2010-09-11 10:00:00,2010,36,14.2857142857
2010-09-25 10:00:00,2010,38,114.285714286
2010-10-09 10:00:00,2010,40,9.24523809524
2010-10-16 10:00:00,2010,41,9.94761904762
2010-10-23 10:00:00,2010,42,16.3585714286
2010-10-30 10:00:00,2010,43,16.250952381
2010-11-06 11:00:00,2010,44,15.2471428571
2010-11-13 11:00:00,2010,45,17.6919047619
2010-11-20 11:00:00,2010,46,15.610952381
2010-11-27 11:00:00,2010,47,19.6038095238
2010-12-04 11:00:00,2010,48,24.9538095238
2010-12-11 11:00:00,2010,49,14.8223809524
2010-12-18 11:00:00,2010,50,36.2514285714
2010-12-25 11:00:00,2010,51,77.1595238095
2011-01-01 11:00:00,2011,52,136.22952381
2011-01-08 11:00:00,2011,1,160.163333333
2011-01-15 11:00:00,2011,2,206.096190476
2011-01-22 11:00:00,2011,3,192.04047619
2011-01-29 11:00:00,2011,4,174.308095238
2011-02-05 11:00:00,2011,5,144.720952381
2011-02-12 11:00:00,2011,6,129.556666667
2011-02-19 11:00:00,2011,7,90.9447619048
2011-02-26 11:00:00,2011,8,66.7695238095
2011-03-05 11:00:00,2011,9,49.890952381
2011-03-12 11:00:00,2011,10,32.1580952381
2011-03-19 11:00:00,2011,11,26.5228571429
2011-03-26 11:00:00,2011,12,17.3442857143
2011-04-02 10:00:00,2011,13,19.1323809524
2011-04-09 10:00:00,2011,14,8.76523809524
2011-04-16 10:00:00,2011,15,9.04095238095
2011-04-23 10:00:00,2011,16,5.08523809524
2011-04-30 10:00:00,2011,17,6.75285714286
2011-05-07 10:00:00,2011,18,5.78238095238
2011-05-14 10:00:00,2011,19,5.52761904762
2011-05-21 10:00:00,2011,20,6.31095238095
2011-06-04 10:00:00,2011,22,0.0
2011-06-18 10:00:00,2011,24,0.0
2011-07-02 10:00:00,2011,26,0.0
2011-07-16 10:00:00,2011,28,0.0
2011-07-30 10:00:00,2011,30,0.0
2011-08-13 10:00:00,2011,32,0.0
2011-08-27 10:00:00,2011,34,0.0
2011-09-10 10:00:00,2011,36,0.0
2011-09-24 10:00:00,2011,38,0.0
2011-10-08 10:00:00,2011,40,11.9523809524
2011-10-15 10:00:00,2011,41,9.23904761905
2011-10-22 10:00:00,2011,42,13.4447619048
2011-10-29 10:00:00,2011,43,16.7938095238
2011-11-05 11:00:00,2011,44,14.6742857143
2011-11-12 11:00:00,2011,45,16.4852380952
2011-11-19 11:00:00,2011,46,19.6452380952
2011-11-26 11:00:00,2011,47,20.7252380952
2011-12-03 11:00:00,2011,48,21.469047619
2011-12-10 11:00:00,2011,49,18.6514285714
2011-12-17 11:00:00,2011,50,25.0128571429
2011-12-24 11:00:00,2011,51,31.88
2011-12-31 11:00:00,2011,52,48.5676190476
2012-01-08 11:00:00,2012,1,39.5461904762
2012-01-15 11:00:00,2012,2,81.7933333333
2012-01-22 11:00:00,2012,3,106.173181818
2012-01-29 11:00:00,2012,4,164.348181818
2012-02-05 11:00:00,2012,5,173.488181818
2012-02-12 11:00:00,2012,6,208.787727273
2012-02-19 11:00:00,2012,7,214.921818182
2012-02-26 11:00:00,2012,8,165.516363636
2012-03-04 11:00:00,2012,9,113.775
2012-03-11 11:00:00,2012,10,68.6268181818
2012-03-18 11:00:00,2012,11,49.3609090909
2012-03-25 10:00:00,2012,12,30.6272727273
2012-04-01 10:00:00,2012,13,21.5004545455
2012-04-08 10:00:00,2012,14,11.685
2012-04-15 10:00:00,2012,15,14.4940909091
2012-04-22 10:00:00,2012,16,10.6863636364
2012-04-29 10:00:00,2012,17,8.81227272727
2012-05-06 10:00:00,2012,18,8.55590909091
2012-05-13 10:00:00,2012,19,4.72181818182
2012-05-20 10:00:00,2012,20,6.27
2012-06-03 10:00:00,2012,22,0.0
2012-06-17 10:00:00,2012,24,0.0
2012-07-01 10:00:00,2012,26,0.0
2012-07-15 10:00:00,2012,28,0.0
2012-07-29 10:00:00,2012,30,0.0
2012-08-12 10:00:00,2012,32,0.0
2012-08-26 10:00:00,2012,34,0.0
2012-09-09 10:00:00,2012,36,0.0
2012-09-23 10:00:00,2012,38,0.0
2012-10-07 10:00:00,2012,40,7.095
2012-10-14 10:00:00,2012,41,5.075
2012-10-21 10:00:00,2012,42,7.83954545455
2012-10-28 11:00:00,2012,43,12.4186363636
2012-11-04 11:00:00,2012,44,8.43681818182
2012-11-11 11:00:00,2012,45,14.7340909091
2012-11-18 11:00:00,2012,46,13.0209090909
2012-11-25 11:00:00,2012,47,13.8565
2012-12-02 11:00:00,2012,48,19.2555
2012-12-09 11:00:00,2012,49,16.959
2012-12-16 11:00:00,2012,50,22.8905
2012-12-23 11:00:00,2012,51,26.275
2012-12-30 11:00:00,2012,52,38.159
2013-01-06 11:00:00,2013,1,27.1055
2013-01-13 11:00:00,2013,2,54.047
2013-01-20 11:00:00,2013,3,98.001
2013-01-27 11:00:00,2013,4,142.9825
2013-02-03 11:00:00,2013,5,172.7365
2013-02-10 11:00:00,2013,6,186.9465
2013-02-17 11:00:00,2013,7,203.42952381
2013-02-24 11:00:00,2013,8,180.129047619
2013-03-03 11:00:00,2013,9,139.644285714
2013-03-10 11:00:00,2013,10,151.5115
2013-03-17 11:00:00,2013,11,93.664
2013-03-24 11:00:00,2013,12,76.005
2013-03-31 10:00:00,2013,13,27.7123809524
